CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;117
RefMandelCalculator;512;1536;1024;100;117
LineMandelCalculator;512;1536;1024;100;17
LineMandelCalculator;512;1536;1024;100;17
LineMandelCalculator;512;1536;1024;100;17
RefMandelCalculator;1024;3072;2048;100;468
RefMandelCalculator;1024;3072;2048;100;468
RefMandelCalculator;1024;3072;2048;100;467
LineMandelCalculator;1024;3072;2048;100;121
LineMandelCalculator;1024;3072;2048;100;121
BatchMandelCalculator;512;1536;1024;100;10
LineMandelCalculator;1024;3072;2048;100;120
RefMandelCalculator;2048;6144;4096;100;1863
BatchMandelCalculator;512;1536;1024;100;10
BatchMandelCalculator;512;1536;1024;100;10
RefMandelCalculator;2048;6144;4096;100;1863
RefMandelCalculator;2048;6144;4096;100;1865
LineMandelCalculator;2048;6144;4096;100;502
LineMandelCalculator;2048;6144;4096;100;502
BatchMandelCalculator;1024;3072;2048;100;39
LineMandelCalculator;2048;6144;4096;100;503
RefMandelCalculator;4096;12288;8192;100;7441
BatchMandelCalculator;1024;3072;2048;100;39
RefMandelCalculator;4096;12288;8192;100;7440
BatchMandelCalculator;1024;3072;2048;100;39
RefMandelCalculator;4096;12288;8192;100;7434
LineMandelCalculator;4096;12288;8192;100;2033
LineMandelCalculator;4096;12288;8192;100;2025
BatchMandelCalculator;2048;6144;4096;100;152
LineMandelCalculator;4096;12288;8192;100;2024
RefMandelCalculator;512;1536;1024;1000;1041
BatchMandelCalculator;2048;6144;4096;100;152
RefMandelCalculator;512;1536;1024;1000;1042
BatchMandelCalculator;2048;6144;4096;100;153
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;512;1536;1024;1000;159
LineMandelCalculator;512;1536;1024;1000;159
BatchMandelCalculator;4096;12288;8192;100;594
LineMandelCalculator;512;1536;1024;1000;159
RefMandelCalculator;1024;3072;2048;1000;4165
BatchMandelCalculator;4096;12288;8192;100;602
RefMandelCalculator;1024;3072;2048;1000;4164
BatchMandelCalculator;4096;12288;8192;100;593
RefMandelCalculator;1024;3072;2048;1000;4168
LineMandelCalculator;1024;3072;2048;1000;1095
LineMandelCalculator;1024;3072;2048;1000;1096
BatchMandelCalculator;512;1536;1024;1000;65
LineMandelCalculator;1024;3072;2048;1000;1096
RefMandelCalculator;2048;6144;4096;1000;16658
BatchMandelCalculator;512;1536;1024;1000;65
RefMandelCalculator;2048;6144;4096;1000;16656
BatchMandelCalculator;512;1536;1024;1000;65
RefMandelCalculator;2048;6144;4096;1000;16669
LineMandelCalculator;2048;6144;4096;1000;4540
BatchMandelCalculator;1024;3072;2048;1000;238
LineMandelCalculator;2048;6144;4096;1000;4518
LineMandelCalculator;2048;6144;4096;1000;4510
RefMandelCalculator;4096;12288;8192;1000;66624
RefMandelCalculator;4096;12288;8192;1000;66610
BatchMandelCalculator;1024;3072;2048;1000;238
BatchMandelCalculator;1024;3072;2048;1000;238
RefMandelCalculator;4096;12288;8192;1000;66645
LineMandelCalculator;4096;12288;8192;1000;18346
BatchMandelCalculator;2048;6144;4096;1000;892
LineMandelCalculator;4096;12288;8192;1000;18385
LineMandelCalculator;4096;12288;8192;1000;18139
BatchMandelCalculator;2048;6144;4096;1000;891
BatchMandelCalculator;2048;6144;4096;1000;891
BatchMandelCalculator;4096;12288;8192;1000;3408
BatchMandelCalculator;4096;12288;8192;1000;3407
BatchMandelCalculator;4096;12288;8192;1000;3404
